 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"250290 Brejo dos Santos";-;1;-;1
"250300 Caaporã";12;7;11;30
"250310 Cabaceiras";1;-;1;2
"250320 Cabedelo";6;7;5;18
"250330 Cachoeira dos Índios";5;2;-;7
"250340 Cacimba de Areia";-;2;-;2
"250350 Cacimba de Dentro";13;6;4;23
"250360 Caiçara";1;4;-;5
"250370 Cajazeiras";32;27;4;63
"250380 Caldas Brandão";-;1;-;1
"250390 Camalaú";1;2;2;5
"250400 Campina Grande";85;93;66;244
"250430 Catolé do Rocha";-;1;6;7
"250440 Conceição";2;2;-;4
"250450 Condado";1;-;-;1
"250460 Conde";-;5;6;11
"250470 Congo";1;-;1;2
"250480 Coremas";7;10;1;18
"250490 Cruz do Espírito Santo";9;5;5;19
"250500 Cubati";1;2;-;3
"250510 Cuité";10;3;3;16
"250520 Cuitegi";4;1;4;9
"250530 Curral Velho";-;1;-;1
"250540 Desterro";-;-;1;1
"250570 Dona Inês";16;15;4;35
"250580 Duas Estradas";5;5;2;12
"250590 Emas";-;1;-;1
"250600 Esperança";5;10;6;21
"250610 Fagundes";3;-;-;3
"250630 Guarabira";14;9;5;28
"250650 Gurjão";1;-;-;1
"250660 Ibiara";1;1;-;2
"250260 Igaracy";1;1;-;2
"250670 Imaculada";-;2;1;3
"250680 Ingá";10;8;2;20
"250690 Itabaiana";5;3;6;14
"250700 Itaporanga";1;3;1;5
"250710 Itapororoca";14;3;5;22
"250720 Itatuba";5;5;-;10
"250730 Jacaraú";-;-;1;1
"250750 João Pessoa";79;70;45;194
"250760 Juarez Távora";-;3;2;5
"250770 Juazeirinho";1;4;-;5
"250790 Juripiranga";4;1;2;7
"250800 Juru";2;3;2;7
"250810 Lagoa";-;2;1;3
"250820 Lagoa de Dentro";4;-;2;6
"250830 Lagoa Seca";3;2;2;7
"250840 Lastro";-;3;-;3
"250850 Livramento";-;1;1;2
"250860 Lucena";1;1;-;2
"250880 Malta";-;1;-;1
"250890 Mamanguape";28;16;16;60
"250900 Manaíra";2;1;-;3
"250910 Mari";8;7;2;17
"250920 Massaranduba";3;2;1;6
"250930 Mataraca";2;3;3;8
"250940 Mogeiro";13;11;6;30
"250950 Montadas";-;1;1;2
"250970 Monteiro";13;7;5;25
"250980 Mulungu";7;1;1;9
"250990 Natuba";1;1;-;2
"251000 Nazarezinho";-;-;1;1
"251010 Nova Floresta";1;2;1;4
"251020 Nova Olinda";-;4;-;4
"251030 Nova Palmeira";1;1;-;2
"251080 Patos";10;9;4;23
"251090 Paulista";-;-;1;1
"251110 Pedra Lavrada";-;-;2;2
"251120 Pedras de Fogo";4;5;6;15
"251140 Picuí";13;2;1;16
"251150 Pilar";9;4;6;19
"251160 Pilões";3;2;-;5
"251170 Pilõezinhos";2;2;1;5
"251180 Pirpirituba";2;1;2;5
"251190 Pitimbu";1;1;1;3
"251200 Pocinhos";4;2;-;6
"251210 Pombal";1;6;3;10
"251230 Princesa Isabel";6;3;1;10
"251240 Puxinanã";1;3;1;5
"251250 Queimadas";2;5;2;9
"251270 Remígio";14;5;1;20
"251280 Riacho dos Cavalos";1;-;1;2
"251290 Rio Tinto";7;3;5;15
"251300 Salgadinho";-;1;-;1
"251310 Salgado de São Félix";4;3;-;7
"251330 Santa Helena";-;-;2;2
"251340 Santa Luzia";6;3;1;10
"251370 Santa Rita";39;46;27;112
"251380 Santa Teresinha";-;3;-;3
"251350 Santana de Mangueira";2;3;1;6
"251390 São Bento";-;1;-;1
"250070 São João do Rio do Peixe";3;1;-;4
"251410 São João do Tigre";1;1;-;2
"251440 São José de Espinharas";1;-;3;4
"251450 São José de Piranhas";7;8;3;18
"251470 São José do Sabugi";1;-;-;1
"251490 São Mamede";-;1;1;2
"251510 São Sebastião de Lagoa de Roça";4;-;1;5
"251520 São Sebastião do Umbuzeiro";3;1;1;5
"251540 São Vicente do Seridó";3;1;-;4
"251530 Sapé";14;18;15;47
"251550 Serra Branca";3;-;-;3
"251560 Serra da Raiz";1;4;-;5
"251580 Serra Redonda";2;4;-;6
"251590 Serraria";3;4;3;10
"251600 Solânea";6;6;8;20
"251620 Sousa";11;9;5;25
"251630 Sumé";3;4;-;7
"251640 Tacima";2;1;1;4
"251650 Taperoá";-;1;-;1
"251680 Triunfo";4;-;1;5
"251700 Umbuzeiro";3;4;2;9
"250000 Município ignorado - PB";1;6;1;8
"260005 Abreu e Lima";11;9;7;27
"260010 Afogados da Ingazeira";1;6;5;12
"260020 Afrânio";1;2;1;4
"260030 Agrestina";5;1;3;9
"260040 Água Preta";19;9;13;41
"260050 Águas Belas";10;3;4;17
"260060 Alagoinha";2;-;1;3
"260070 Aliança";20;13;14;47
"260080 Altinho";5;3;2;10
"260090 Amaraji";4;4;5;13
"260100 Angelim";2;4;3;9
"260110 Araripina";1;3;1;5
"260120 Arcoverde";41;24;10;75
"260130 Barra de Guabiraba";2;2;1;5
"260140 Barreiros";18;12;7;37
"260150 Belém de Maria";9;2;7;18
"260160 Belém do São Francisco";1;1;-;2
"260170 Belo Jardim";29;15;16;60
"260180 Betânia";-;2;-;2
"260190 Bezerros";10;10;9;29
"260200 Bodocó";3;2;4;9
"260210 Bom Conselho";9;6;8;23
"260220 Bom Jardim";6;2;7;15
"260230 Bonito";10;3;2;15
"260240 Brejão";1;2;6;9
"260250 Brejinho";-;-;2;2
"260260 Brejo da Madre de Deus";31;6;11;48
"260270 Buenos Aires";1;-;-;1
"260280 Buíque";4;4;2;10
"260290 Cabo de Santo Agostinho";26;28;26;80
"260300 Cabrobó";3;1;1;5
"260310 Cachoeirinha";3;4;4;11
"260320 Caetés";2;-;-;2
"260330 Calçado";1;2;1;4
"260340 Calumbi";1;-;1;2
"260345 Camaragibe";12;9;10;31
"260350 Camocim de São Félix";2;4;2;8
"260360 Camutanga";1;4;2;7
"260370 Canhotinho";14;10;6;30
"260380 Capoeiras";4;4;4;12
"260390 Carnaíba";2;3;3;8
"260400 Carpina";10;15;6;31
"260410 Caruaru";69;41;36;146
"260420 Catende";61;28;28;117
"260430 Cedro";1;1;-;2
"260440 Chã de Alegria";1;6;3;10
"260450 Chã Grande";3;6;7;16
"260460 Condado";3;3;7;13
"260470 Correntes";6;5;5;16
"260480 Cortês";6;13;6;25
"260490 Cumaru";-;4;3;7
"260500 Cupira";4;4;3;11
"260510 Custódia";3;1;3;7
"260515 Dormentes";1;-;-;1
"260520 Escada";16;19;11;46
"260540 Feira Nova";10;8;5;23
"260545 Fernando de Noronha";1;-;-;1
"260550 Ferreiros";-;3;3;6
"260560 Flores";1;-;1;2
"260570 Floresta";2;2;-;4
"260580 Frei Miguelinho";3;1;1;5
"260590 Gameleira";12;8;11;31
"260600 Garanhuns";49;45;34;128
"260610 Glória do Goitá";6;4;1;11
"260620 Goiana";28;8;17;53
"260640 Gravatá";10;13;8;31
"260650 Iati";1;-;2;3
"260660 Ibimirim";2;1;3;6
"260670 Ibirajuba";5;5;1;11
"260680 Igarassu";19;14;13;46
"260690 Iguaracy";2;1;-;3
"260760 Ilha de Itamaracá";2;2;1;5
"260700 Inajá";-;2;-;2
"260710 Ingazeira";-;1;1;2
"260720 Ipojuca";13;16;16;45
"260730 Ipubi";2;4;10;16
"260750 Itaíba";-;-;1;1
"260765 Itambé";4;8;6;18
"260770 Itapetim";-;1;-;1
"260775 Itapissuma";2;8;4;14
"260780 Itaquitinga";4;4;3;11
"260790 Jaboatão dos Guararapes";51;62;57;170
"260800 Jataúba";1;3;2;6
"260810 João Alfredo";12;12;10;34
"260820 Joaquim Nabuco";8;10;6;24
"260825 Jucati";1;7;1;9
"260830 Jupi";13;4;2;19
"260840 Jurema";6;6;1;13
"260850 Lagoa de Itaenga";6;6;2;14
"260845 Lagoa do Carro";2;2;2;6
"260860 Lagoa do Ouro";-;4;2;6
"260870 Lagoa dos Gatos";2;2;2;6
"260880 Lajedo";8;10;5;23
"260890 Limoeiro";19;12;5;36
"260900 Macaparana";7;16;8;31
"260910 Machados";2;3;2;7
"260920 Maraial";24;10;8;42
"260930 Mirandiba";1;3;3;7
"261430 Moreilândia";-;-;1;1
"260940 Moreno";9;8;10;27
"260950 Nazaré da Mata";7;3;5;15
"260960 Olinda";37;56;37;130
"260970 Orobó";1;4;2;7
"260990 Ouricuri";2;2;5;9
"261000 Palmares";26;18;9;53
"261010 Palmeirina";2;2;2;6
"261020 Panelas";9;4;5;18
"261030 Paranatama";4;2;3;9
"261040 Parnamirim";1;-;1;2
"261050 Passira";19;6;6;31
"261060 Paudalho";14;15;13;42
"261070 Paulista";14;16;18;48
"261080 Pedra";-;2;4;6
"261090 Pesqueira";15;18;10;43
"261100 Petrolândia";6;7;2;15
"261110 Petrolina";28;24;20;72
"261120 Poção";8;-;4;12
"261130 Pombos";5;5;5;15
"261140 Primavera";3;4;3;10
"261150 Quipapá";22;5;10;37
"261160 Recife";222;148;137;507
"261170 Riacho das Almas";11;5;2;18
"261180 Ribeirão";24;6;8;38
"261190 Rio Formoso";21;38;11;70
"261200 Sairé";5;1;-;6
"261210 Salgadinho";-;-;3;3
"261220 Salgueiro";1;3;2;6
"261230 Saloá";4;4;4;12
"261240 Sanharó";1;-;-;1
"261245 Santa Cruz";1;3;4;8
"261247 Santa Cruz da Baixa Verde";1;-;1;2
"261250 Santa Cruz do Capibaribe";19;7;2;28
"261260 Santa Maria da Boa Vista";4;3;2;9
"261270 Santa Maria do Cambucá";1;-;-;1
"261280 Santa Terezinha";2;3;2;7
"261290 São Benedito do Sul";5;1;2;8
"261300 São Bento do Una";59;35;27;121
"261310 São Caitano";11;14;6;31
"261320 São João";4;3;2;9
"261330 São Joaquim do Monte";4;5;3;12
"261340 São José da Coroa Grande";8;4;6;18
"261350 São José do Belmonte";1;1;1;3
"261360 São José do Egito";1;2;2;5
"261370 São Lourenço da Mata";10;15;11;36
"261380 São Vicente Ferrer";2;4;4;10
"261390 Serra Talhada";19;23;6;48
"261410 Sertânia";3;3;2;8
"261420 Sirinhaém";7;3;3;13
"261450 Surubim";14;8;10;32
"261460 Tabira";5;3;-;8
"261470 Tacaimbó";6;2;1;9
"261480 Tacaratu";5;3;-;8
"261500 Taquaritinga do Norte";5;5;4;14
"261510 Terezinha";-;-;1;1
"261520 Terra Nova";1;1;-;2
"261530 Timbaúba";25;9;19;53
"261540 Toritama";2;4;3;9
"261550 Tracunhaém";3;4;1;8
"261560 Trindade";3;1;1;5
"261570 Triunfo";5;3;2;10
"261580 Tupanatinga";1;-;-;1
"261590 Tuparetama";2;-;2;4
"261600 Venturosa";-;2;1;3
"261618 Vertente do Lério";-;-;2;2
"261620 Vertentes";6;4;-;10
"261630 Vicência";6;3;-;9
"261640 Vitória de Santo Antão";14;24;17;55
"261650 Xexéu";4;3;2;9
"260000 Município ignorado - PE";1;5;3;9
"270010 Água Branca";4;-;3;7
"270020 Anadia";-;-;1;1
"270030 Arapiraca";21;28;22;71
"270040 Atalaia";1;-;3;4
"270050 Barra de Santo Antônio";4;2;3;9
"270060 Barra de São Miguel";2;3;2;7
"270070 Batalha";4;2;3;9
"270100 Boca da Mata";3;3;3;9
"270110 Branquinha";-;1;-;1
"270120 Cacimbinhas";1;-;-;1
"270130 Cajueiro";9;16;7;32
"270140 Campo Alegre";4;6;4;14
"270150 Campo Grande";2;-;1;3
"270160 Canapi";3;2;1;6
"270170 Capela";3;-;1;4
"270180 Carneiros";6;3;4;13
"270190 Chã Preta";1;4;2;7
"270210 Colônia Leopoldina";2;4;1;7
"270220 Coqueiro Seco";1;4;1;6
"270230 Coruripe";14;12;10;36
"270235 Craíbas";1;1;1;3
"270240 Delmiro Gouveia";2;2;2;6
"270260 Feira Grande";-;-;1;1
"270270 Feliz Deserto";2;3;4;9
"270280 Flexeiras";4;2;3;9
"270290 Girau do Ponciano";-;1;1;2
"270320 Igreja Nova";-;1;1;2
"270330 Inhapi";4;1;-;5
"270350 Jacuípe";7;6;2;15
"270360 Japaratinga";4;2;3;9
"270370 Jaramataia";-;-;3;3
"270380 Joaquim Gomes";8;4;4;16
"270390 Jundiá";11;6;2;19
"270400 Junqueiro";1;1;-;2
"270420 Limoeiro de Anadia";4;-;3;7
"270430 Maceió";89;94;80;263
"270440 Major Isidoro";3;-;2;5
"270450 Maragogi";5;6;2;13
"270460 Maravilha";5;-;1;6
"270470 Marechal Deodoro";18;6;16;40
"270500 Mata Grande";2;2;1;5
"270510 Matriz de Camaragibe";5;4;4;13
"270520 Messias";1;4;-;5
"270540 Monteirópolis";1;1;1;3
"270550 Murici";3;-;2;5
"270560 Novo Lino";4;5;3;12
"270570 Olho d'Água das Flores";17;10;9;36
"270580 Olho d'Água do Casado";3;2;1;6
"270610 Ouro Branco";2;-;1;3
"270630 Palmeira dos Índios";4;1;3;8
"270640 Pão de Açúcar";6;2;3;11
"270642 Pariconha";3;2;1;6
"270644 Paripueira";7;5;5;17
"270650 Passo de Camaragibe";5;2;-;7
"270660 Paulo Jacinto";2;-;1;3
"270670 Penedo";13;10;10;33
"270680 Piaçabuçu";2;5;7;14
"270690 Pilar";13;3;1;17
"270700 Pindoba";1;2;-;3
"270710 Piranhas";4;3;3;10
"270730 Porto Calvo";18;17;14;49
"270740 Porto de Pedras";-;3;3;6
"270750 Porto Real do Colégio";5;7;2;14
"270760 Quebrangulo";-;1;1;2
"270770 Rio Largo";10;7;11;28
"270780 Roteiro";8;2;15;25
"270790 Santa Luzia do Norte";1;2;3;6
"270800 Santana do Ipanema";1;3;-;4
"270810 Santana do Mundaú";1;-;1;2
"270820 São Brás";-;2;1;3
"270830 São José da Laje";5;12;7;24
"270840 São José da Tapera";1;-;3;4
"270850 São Luís do Quitunde";15;10;8;33
"270860 São Miguel dos Campos";10;5;10;25
"270870 São Miguel dos Milagres";1;1;4;6
"270880 São Sebastião";-;-;5;5
"270890 Satuba";-;2;1;3
"270895 Senador Rui Palmeira";-;-;1;1
"270910 Taquarana";2;2;-;4
"270915 Teotônio Vilela";3;10;19;32
"270920 Traipu";-;-;1;1
"270930 União dos Palmares";13;9;2;24
"270940 Viçosa";8;8;5;21
"270000 Município ignorado - AL";-;-;2;2
"280020 Aquidabã";1;1;2;4
"280030 Aracaju";66;95;73;234
"280050 Areia Branca";1;2;1;4
"280060 Barra dos Coqueiros";2;4;2;8
"280067 Boquim";2;5;2;9
"280070 Brejo Grande";4;-;1;5
"280100 Campo do Brito";2;1;1;4
"280110 Canhoba";-;-;1;1
"280120 Canindé de São Francisco";-;-;3;3
"280130 Capela";4;4;1;9
"280140 Carira";-;1;2;3
"280150 Carmópolis";1;2;3;6
"280160 Cedro de São João";-;3;-;3
"280170 Cristinápolis";4;3;4;11
"280190 Cumbe";-;-;1;1
"280200 Divina Pastora";-;1;-;1
"280210 Estância";3;11;8;22
"280220 Feira Nova";1;-;1;2
"280230 Frei Paulo";5;-;-;5
"280240 Gararu";-;2;1;3
"280260 Gracho Cardoso";1;-;-;1
"280270 Ilha das Flores";2;2;2;6
"280280 Indiaroba";4;-;2;6
"280290 Itabaiana";8;10;10;28
"280300 Itabaianinha";4;2;2;8
"280310 Itabi";2;1;-;3
"280320 Itaporanga d'Ajuda";-;1;2;3
"280330 Japaratuba";3;2;1;6
"280340 Japoatã";1;2;1;4
"280350 Lagarto";3;4;4;11
"280360 Laranjeiras";2;2;3;7
"280390 Malhador";4;-;2;6
"280400 Maruim";4;-;5;9
"280410 Moita Bonita";1;1;-;2
"280420 Monte Alegre de Sergipe";-;3;-;3
"280440 Neópolis";3;2;2;7
"280445 Nossa Senhora Aparecida";-;1;-;1
"280450 Nossa Senhora da Glória";1;3;3;7
"280460 Nossa Senhora das Dores";2;1;1;4
"280470 Nossa Senhora de Lourdes";-;1;1;2
"280480 Nossa Senhora do Socorro";9;10;12;31
"280490 Pacatuba";-;2;1;3
"280510 Pedrinhas";1;-;1;2
"280530 Pirambu";2;-;2;4
"280540 Poço Redondo";5;2;-;7
"280550 Poço Verde";-;-;2;2
"280560 Porto da Folha";2;3;2;7
"280570 Propriá";1;5;3;9
"280580 Riachão do Dantas";2;-;-;2
"280590 Riachuelo";2;1;2;5
"280600 Ribeirópolis";-;1;-;1
"280610 Rosário do Catete";1;-;-;1
"280620 Salgado";4;5;1;10
"280630 Santa Luzia do Itanhy";3;1;1;5
"280640 Santana do São Francisco";-;-;2;2
"280660 Santo Amaro das Brotas";3;2;3;8
"280670 São Cristóvão";7;15;9;31
"280680 São Domingos";2;3;-;5
"280690 São Francisco";3;1;1;5
"280700 São Miguel do Aleixo";-;1;-;1
"280710 Simão Dias";1;1;2;4
"280720 Siriri";1;2;-;3
"280740 Tobias Barreto";4;5;1;10
"280750 Tomar do Geru";4;-;1;5
"280760 Umbaúba";1;2;-;3
"280000 Município ignorado - SE";-;-;16;16
"290030 Acajutiba";7;5;5;17
"290040 Água Fria";4;7;-;11
"290060 Aiquara";5;-;2;7
"290070 Alagoinhas";17;26;20;63
"290080 Alcobaça";3;3;1;7
"290090 Almadina";8;8;2;18
"290100 Amargosa";6;7;3;16
"290110 Amélia Rodrigues";2;-;1;3
"290120 Anagé";2;2;2;6
"290130 Andaraí";2;5;3;10
"290135 Andorinha";-;1;-;1
"290140 Angical";1;3;-;4
"290150 Anguera";-;1;-;1
"290160 Antas";-;1;-;1
"290170 Antônio Cardoso";1;1;-;2
"290180 Antônio Gonçalves";2;-;1;3
"290190 Aporá";-;1;-;1
"290195 Apuarema";-;2;1;3
"290205 Araças";2;5;2;9
"290200 Aracatu";-;1;-;1
"290210 Araci";1;-;-;1
"290220 Aramari";1;1;-;2
"290225 Arataca";-;5;3;8
"290230 Aratuípe";1;-;1;2
"290240 Aurelino Leal";8;8;6;22
"290250 Baianópolis";-;2;1;3
"290260 Baixa Grande";-;2;1;3
"290270 Barra";-;4;2;6
"290280 Barra da Estiva";5;-;-;5
"290290 Barra do Choça";1;2;-;3
"290310 Barra do Rocha";1;1;-;2
"290320 Barreiras";20;5;21;46
"290330 Barro Preto";2;2;1;5
"290340 Belmonte";10;4;5;19
"290360 Biritinga";4;-;1;5
"290370 Boa Nova";-;2;2;4
"290380 Boa Vista do Tupim";3;3;4;10
"290390 Bom Jesus da Lapa";5;9;14;28
"290400 Boninal";2;-;1;3
"290410 Boquira";4;1;2;7
"290420 Botuporã";1;-;1;2
"290430 Brejões";4;6;3;13
"290440 Brejolândia";-;1;-;1
"290460 Brumado";3;2;4;9
"290470 Buerarema";8;7;7;22
"290475 Buritirama";2;-;-;2
"290485 Cabaceiras do Paraguaçu";1;6;3;10
"290490 Cachoeira";10;3;4;17
"290500 Caculé";1;3;1;5
"290520 Caetité";5;9;5;19
"290530 Cafarnaum";-;1;-;1
"290550 Caldeirão Grande";1;4;2;7
"290560 Camacan";10;8;7;25
"290570 Camaçari";14;28;19;61
"290580 Camamu";6;3;7;16
"290600 Campo Formoso";3;4;5;12
"290630 Canavieiras";6;11;2;19
"290640 Candeal";5;-;-;5
"290650 Candeias";14;9;16;39
"290660 Candiba";-;3;-;3
"290670 Cândido Sales";1;-;-;1
"290680 Cansanção";2;1;4;7
"290682 Canudos";1;2;-;3
"290687 Capim Grosso";4;-;2;6
"290690 Caravelas";3;1;-;4
"290700 Cardeal da Silva";-;-;2;2
"290710 Carinhanha";1;2;-;3
"290720 Casa Nova";2;1;-;3
"290730 Castro Alves";3;-;3;6
"290740 Catolândia";-;1;1;2
"290750 Catu";5;5;9;19
"290760 Central";-;-;1;1
"290770 Chorrochó";-;-;2;2
"290800 Coaraci";8;6;8;22
"290810 Cocos";2;1;1;4
"290820 Conceição da Feira";3;3;4;10
"290830 Conceição do Almeida";3;-;5;8
"290840 Conceição do Coité";11;6;-;17
"290860 Conde";-;1;3;4
"290870 Condeúba";1;2;-;3
"290880 Contendas do Sincorá";-;1;-;1
"290890 Coração de Maria";1;-;-;1
"290900 Cordeiros";-;-;1;1
"290910 Coribe";-;-;1;1
"290920 Coronel João Sá";2;-;-;2
"290930 Correntina";-;-;1;1
"290950 Cravolândia";-;1;-;1
"290960 Crisópolis";-;1;-;1
"290980 Cruz das Almas";2;6;6;14
"290990 Curaçá";-;-;1;1
"291000 Dário Meira";-;-;1;1
"291005 Dias d'Ávila";6;6;8;20
"291010 Dom Basílio";1;-;-;1
"291030 Elísio Medrado";-;-;1;1
"291050 Entre Rios";11;11;2;24
"291060 Esplanada";4;7;8;19
"291070 Euclides da Cunha";6;10;2;18
"291072 Eunápolis";16;3;8;27
"291077 Feira da Mata";1;-;-;1
"291080 Feira de Santana";21;29;39;89
"291090 Firmino Alves";-;-;1;1
"291100 Floresta Azul";3;6;1;10
"291110 Formosa do Rio Preto";1;1;-;2
"291120 Gandu";15;6;5;26
"291130 Gentio do Ouro";-;-;1;1
"291140 Glória";1;1;-;2
"291150 Gongogi";4;1;-;5
"291160 Governador Mangabeira";4;5;3;12
"291165 Guajeru";1;-;1;2
"291170 Guanambi";6;6;6;18
"291180 Guaratinga";2;-;-;2
"291190 Iaçu";17;8;8;33
"291210 Ibicaraí";16;11;12;39
"291230 Ibicuí";3;1;2;6
"291250 Ibipitanga";-;1;-;1
"291260 Ibiquera";-;1;-;1
"291270 Ibirapitanga";3;5;2;10
"291280 Ibirapuã";-;-;1;1
"291290 Ibirataia";2;-;3;5
"291300 Ibitiara";1;2;1;4
"291320 Ibotirama";4;2;5;11
"291330 Ichu";1;-;-;1
"291345 Igrapiúna";3;2;-;5
"291350 Iguaí";6;2;1;9
"291360 Ilhéus";40;44;29;113
"291370 Inhambupe";11;5;2;18
"291380 Ipecaetá";4;2;1;7
"291390 Ipiaú";12;8;7;27
"291400 Ipirá";9;17;7;33
"291430 Iramaia";-;1;-;1
"291450 Irará";13;4;4;21
"291460 Irecê";2;1;-;3
"291465 Itabela";7;8;4;19
"291470 Itaberaba";21;15;17;53
"291480 Itabuna";54;53;35;142
"291490 Itacaré";5;5;3;13
"291500 Itaeté";3;-;3;6
"291510 Itagi";3;5;1;9
"291520 Itagibá";1;-;-;1
"291530 Itagimirim";5;2;1;8
"291535 Itaguaçu da Bahia";-;-;1;1
"291540 Itaju do Colônia";-;2;-;2
"291550 Itajuípe";4;6;4;14
"291560 Itamaraju";21;21;30;72
"291580 Itambé";4;5;1;10
"291590 Itanagra";1;-;-;1
"291600 Itanhém";-;-;1;1
"291610 Itaparica";5;3;1;9
"291620 Itapé";4;2;3;9
"291630 Itapebi";1;2;2;5
"291640 Itapetinga";4;11;5;20
"291660 Itapitanga";1;4;1;6
"291670 Itaquara";1;3;2;6
"291680 Itarantim";1;-;-;1
"291690 Itiruçu";8;3;3;14
"291700 Itiúba";-;1;-;1
"291710 Itororó";3;4;4;11
"291720 Ituaçu";1;1;1;3
"291730 Ituberá";6;5;7;18
"291733 Iuiú";-;1;-;1
"291740 Jacaraci";1;-;1;2
"291750 Jacobina";3;11;4;18
"291760 Jaguaquara";7;4;4;15
"291770 Jaguarari";1;2;1;4
"291780 Jaguaripe";2;1;2;5
"291790 Jandaíra";2;1;2;5
"291800 Jequié";35;34;21;90
"291810 Jeremoabo";1;6;-;7
"291820 Jiquiriçá";7;-;3;10
"291830 Jitaúna";2;2;6;10
"291840 Juazeiro";24;18;18;60
"291855 Jussari";3;-;-;3
"291860 Jussiape";-;1;-;1
"291875 Lagoa Real";1;-;-;1
"291880 Laje";1;1;2;4
"291890 Lajedão";1;-;1;2
"291900 Lajedinho";-;1;-;1
"291905 Lajedo do Tabocal";1;-;-;1
"291910 Lamarão";2;1;1;4
"291920 Lauro de Freitas";14;14;12;40
"291930 Lençóis";1;3;-;4
"291940 Licínio de Almeida";1;-;-;1
"291950 Livramento de Nossa Senhora";2;2;2;6
"291960 Macajuba";2;4;3;9
"291970 Macarani";4;3;2;9
"291980 Macaúbas";4;5;1;10
"291992 Madre de Deus";1;1;1;3
"292010 Mairi";3;4;1;8
"292030 Malhada de Pedras";-;1;1;2
"292040 Manoel Vitorino";-;-;1;1
"292050 Maracás";1;3;-;4
"292060 Maragogipe";10;4;6;20
"292070 Maraú";6;7;14;27
"292080 Marcionílio Souza";1;6;2;9
"292090 Mascote";-;2;1;3
"292100 Mata de São João";10;2;5;17
"292110 Medeiros Neto";2;2;2;6
"292120 Miguel Calmon";4;1;3;8
"292130 Milagres";-;1;1;2
"292145 Mirante";1;-;-;1
"292160 Morpará";2;2;1;5
"292170 Morro do Chapéu";4;4;3;11
"292180 Mortugaba";2;-;-;2
"292190 Mucugê";1;-;2;3
"292200 Mucuri";4;2;-;6
"292210 Mundo Novo";4;1;-;5
"292220 Muniz Ferreira";1;1;-;2
"292230 Muritiba";3;5;3;11
"292240 Mutuípe";1;7;-;8
"292250 Nazaré";5;1;8;14
"292260 Nilo Peçanha";3;1;1;5
"292265 Nordestina";-;2;-;2
"292280 Nova Itarana";2;-;1;3
"292290 Nova Soure";-;-;2;2
"292300 Nova Viçosa";2;8;2;12
"292303 Novo Horizonte";2;2;-;4
"292320 Oliveira dos Brejinhos";-;3;1;4
"292330 Ouriçangas";5;3;2;10
"292340 Palmas de Monte Alto";-;-;1;1
"292350 Palmeiras";-;1;-;1
"292370 Paratinga";2;3;-;5
"292390 Pau Brasil";4;5;6;15
"292400 Paulo Afonso";19;25;8;52
"292405 Pé de Serra";-;1;-;1
"292410 Pedrão";-;2;-;2
"292430 Piatã";-;2;-;2
"292450 Pindaí";-;-;1;1
"292460 Pindobaçu";-;1;1;2
"292465 Pintadas";1;2;-;3
"292467 Piraí do Norte";-;2;-;2
"292480 Piritiba";2;2;-;4
"292490 Planaltino";2;-;2;4
"292500 Planalto";-;4;3;7
"292510 Poções";13;7;4;24
"292520 Pojuca";5;5;3;13
"292530 Porto Seguro";7;11;9;27
"292550 Prado";5;7;6;18
"292560 Presidente Dutra";-;-;1;1
"292575 Presidente Tancredo Neves";1;1;-;2
"292580 Queimadas";1;2;2;5
"292590 Quijingue";1;-;-;1
"292595 Rafael Jambeiro";3;1;5;9
"292600 Remanso";1;-;2;3
"292610 Retirolândia";1;1;-;2
"292620 Riachão das Neves";1;-;-;1
"292630 Riachão do Jacuípe";7;5;1;13
"292640 Riacho de Santana";2;-;1;3
"292665 Ribeirão do Largo";-;2;-;2
"292670 Rio de Contas";-;1;-;1
"292680 Rio do Antônio";3;-;-;3
"292690 Rio do Pires";-;-;1;1
"292700 Rio Real";1;1;3;5
"292710 Rodelas";-;1;-;1
"292720 Ruy Barbosa";7;15;3;25
"292730 Salinas da Margarida";-;-;3;3
"292740 Salvador";287;281;216;784
"292750 Santa Bárbara";-;2;1;3
"292760 Santa Brígida";2;2;-;4
"292770 Santa Cruz Cabrália";2;1;1;4
"292780 Santa Cruz da Vitória";2;1;3;6
"292790 Santa Inês";3;3;2;8
"292805 Santa Luzia";2;3;6;11
"292810 Santa Maria da Vitória";3;2;1;6
"292840 Santa Rita de Cássia";3;1;1;5
"292850 Santa Teresinha";-;-;1;1
"292800 Santaluz";6;3;4;13
"292820 Santana";-;-;1;1
"292830 Santanópolis";1;2;1;4
"292860 Santo Amaro";6;16;2;24
"292870 Santo Antônio de Jesus";11;9;3;23
"292880 Santo Estêvão";27;11;6;44
"292890 São Desidério";1;-;2;3
"292895 São Domingos";-;2;-;2
"292910 São Felipe";1;3;4;8
"292900 São Félix";3;1;2;6
"292905 São Félix do Coribe";-;1;-;1
"292920 São Francisco do Conde";3;4;2;9
"292930 São Gonçalo dos Campos";5;3;5;13
"292935 São José da Vitória";4;-;-;4
"292937 São José do Jacuípe";1;-;-;1
"292940 São Miguel das Matas";1;-;-;1
"292950 São Sebastião do Passé";9;2;4;15
"292960 Sapeaçu";1;-;1;2
"292970 Sátiro Dias";5;5;4;14
"292980 Saúde";3;7;3;13
